1	8073269	8074456	ERRFI1	453.8803711
1	8075367	8075444	ERRFI1	386.9610291
1	8075554	8075679	ERRFI1	331.8160095
1	11167541	11167557	MTOR	497.8125000
1	11168237	11168343	MTOR	325.3773499
1	11169346	11169427	MTOR	135.2592621
1	11169705	11169786	MTOR	465.0740662
1	11172908	11172974	MTOR	367.8030396
1	11174374	11174510	MTOR	634.2867432
1	11174869	11174944	MTOR	67.6266632
1	11175452	11175525	MTOR	548.1917725
1	11177060	11177143	MTOR	258.4457703
1	11181302	11181425	MTOR	425.1625977
1	11182035	11182183	MTOR	238.2026978
1	11184554	11184690	MTOR	519.6617432
1	11186678	11186853	MTOR	567.2457275
1	11187066	11187201	MTOR	305.6889038
1	11187680	11187863	MTOR	373.3388062
1	11188060	11188183	MTOR	497.7642212
1	11188510	11188609	MTOR	607.6666870
1	11188911	11189008	MTOR	136.8350525
1	11189794	11189895	MTOR	945.9207764
1	11190585	11190666	MTOR	361.0493774
1	11190731	11190834	MTOR	482.6601868
1	11193136	11193254	MTOR	277.6864319
1	11194407	11194523	MTOR	275.1551819
1	11199360	11199492	MTOR	613.5530396
1	11199589	11199715	MTOR	408.5000000
1	11204704	11204812	MTOR	483.2870483
1	11205024	11205102	MTOR	341.0897522
1	11206732	11206848	MTOR	533.3189697
1	11210182	11210283	MTOR	385.0494995
1	11217208	11217348	MTOR	374.0643005
1	11227498	11227574	MTOR	181.8289490
1	11259314	11259460	MTOR	378.9657593
1	11259597	11259760	MTOR	396.3681030
1	11264617	11264760	MTOR	544.6853027
1	11269368	11269515	MTOR	360.9931946
1	11270870	11270963	MTOR	434.8279419
1	11272368	11272531	MTOR	584.4539795
1	11272852	11272965	MTOR	603.8937988
1	11273455	11273623	MTOR	588.2916870
1	11276204	11276291	MTOR	142.9655151
1	11288724	11288975	MTOR	734.4581909
1	11290981	11291111	MTOR	571.7615356
1	11291356	11291491	MTOR	337.1555481
1	11292492	11292585	MTOR	258.6129150
1	11293454	11293544	MTOR	179.3444519
1	11294199	11294322	MTOR	422.6016235
1	11297899	11298105	MTOR	648.8155518
1	11298458	11298674	MTOR	596.2222290
1	11300359	11300604	MTOR	688.5510254
1	11301609	11301738	MTOR	203.2635651
1	11303170	11303357	MTOR	778.8876953
1	11307681	11307790	MTOR	753.8532104
1	11307875	11308151	MTOR	424.7210083
1	11313895	11314030	MTOR	357.3777771
1	11316048	11316249	MTOR	799.2835693
1	11316989	11317222	MTOR	496.9055786
